oid,mjd,fid,ra,dec,isdiffpos,mag_used,err_used
ZTF18aajtltx,58709.22613430023,1,274.3822526,58.4936537,1,19.1451,0.2305998500000009
ZTF18aajtltx,58709.2270717998,1,274.382213,58.493599,1,19.37839,0.230124
ZTF18aajtltx,58710.1804630002,2,274.3824606,58.4935358,1,19.042688,0.13539872
ZTF18aajtltx,58711.18025460001,2,274.3824168,58.4935058,1,18.966728,0.15889752
ZTF18aajtltx,58711.18498839997,2,274.3823616,58.4935277,1,19.287912,0.20747523
ZTF18aajtltx,58714.20590279997,1,274.3822336,58.4936963,1,19.3155,0.230191
ZTF18aajtltx,58714.20638890006,1,274.3821405,58.4935754,1,19.37839,0.2305998500000009
ZTF18aajtltx,58715.26508100005,2,274.3825012,58.4935453,1,19.187168,0.16668202
ZTF18aajtltx,58715.29114580015,1,274.3821977,58.4936833,1,19.37839,0.2305998500000009
ZTF18aajtltx,58716.285717600025,2,274.3822577,58.4935848,1,18.814,0.187196
ZTF18aajtltx,58716.28620370012,2,274.3824408,58.4936067,1,18.6519,0.223664
ZTF18aajtltx,58716.31156249996,1,274.3822688,58.4936622,1,19.3551,0.22426
ZTF18aajtltx,58716.31203699997,1,274.3821873,58.4936924,1,19.203796,0.21628486
ZTF18aajtltx,58716.31572919991,1,274.3825097,58.4936112,1,19.37839,0.18170388
ZTF18aajtltx,58717.2645370001,2,274.3822324,58.4936343,1,18.950336,0.17124933
ZTF18aajtltx,58718.28622689983,2,274.3823376,58.4935895,1,18.7801,0.16001871
ZTF18aajtltx,58718.28670139983,2,274.3822922,58.4937368,1,18.72405,0.17230983
ZTF18aajtltx,58718.31188660022,1,274.3823386,58.4936688,1,19.37839,0.19678666
ZTF18aajtltx,58718.312372699846,1,274.3822627,58.4936324,1,19.37839,0.225911
ZTF18aajtltx,58718.316064800136,1,274.3820322,58.4936071,1,19.37839,0.14918122
ZTF18aajtltx,58719.26518520014,2,274.3821742,58.4936546,1,18.79833,0.20245552
